STRING BEADS,QTY,SRP,SOLD,,DOUBLE LAYER BEADS,QTY,SRP,SOLD,,DAISO ITEMS,QTY,SRP,SOLD,,PLASTIC/MINI/ACRYLIC CHARACTERS,QTY,SRP,SOLD,,COIN PURSE,QTY,SRP,SOLD,,PLUSHIES,QTY,SRP,SOLD,,BIG PLUSHIES,QTY,SRP,SOLD,,ACCESSORIES,QTY,SRP,SOLD,,BOUQUET SANRIO,QTY,SRP,SOLD,,ID LACE LOCAL,QTY,SRP,SOLD,,GLITTER ACRYLIC KEYCHAIN,QTY,SRP,SOLD
PURPLE KUROMI WHITE PINK,4,100,1,,PINK DOUBLE LAYER FLOWER BEADS,2,,,,DAISO KUROMI COIN PURSE,4,,,,ANIME SMALL,19,100,2,,CHIP AND DALE,4,300,,,ANIMAL SAFARI PLUSHIE,10,150,,,CAPYBARA,3,350,,,RING LOCK SMALL,92,30,32,,,,,,,,,,,,,,,
PURPLE 3 HEARTS PURPLE,7,100,,,BLUE DOUBLE LAYER FLOWER BEADS,1,,,,DAISO KUROMI ACRYLIC CHARM,4,,,,BACKPACK MY MELODY HELLO KITTY SMALL,4,100,,,CAPYBARA COIN PURSE BAG,2,200,,,AVOCADO PLUSHIE,2,250,,,CINNAMOROLL,2,350,,,RING LOCK CABLE LONG,26,30,,,,,,,,,,,,,,,,
BLUE CINAMOROLL,1,100,,,,,,,,KUROMI DAISO MINI CHARM,5,,1,,BICYCLE SMALL,10,100,1,,MINI BACKPACK COINPURSE,7,150,,,BALL FLUFFY,4,100,,,KUROMI,2,350,,,RING LOCK STEEL/BIG,181,50,12,,,,,,,,,,,,,,,
BLUE 3 TULIPS BLUE,3,100,,,,,,,,TOTONOU KUNO X CINNAMOROLL,3,,,,CAPYBARA,11,100,,,SANRIO COINPURSE,5,150,,,BIG BOW SANRIO PLUSHIE,5,300,,,HELLO KITTY,1,350,,,,,,,,,,,,,,,,,,,,,
PINK 3 TULIPS,3,100,,,,,,,,KUROMI KEYHOLDER,6,,,,CHOPPER BIG,3,100,,,SANRIO PREMIUM COINPURSE,2,250,,,BLUE BUNNY,2,200,,,MOFOSAND,3,600,,,,,,,,,,,,,,,,,,,,,
PINK BLUE SMALL BEADS,1,100,,,,,,,,POCHACCO ACRYLIC KEYCHAIN,6,,,,CINNAMOROLL BIG,23,100,,,UNICORN COIN PURSE,4,150,,,CAPYBARA SMALL KEYCHAIN PLUSHIE,12,300,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID CASE CINNA,2,,,,CRYBABY,5,100,,,FLAT SANRIO COINPURSE,14,150,,,CAT CRYING WHITE,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID CASE KUROMI,5,,,,DEMON SLAYER KANAO TSUYURI,6,100,,,CAPYBARA SMALL COINPURSE,7,150,,,CAT HEAD BROWN,1,250,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID CASE HANGYODON,2,,,,FLOWER CERAMIC,3,100,,,CRYBABY COINPURSE BROWN,1,250,,,CHIIKAWA BIG PLUSHIE,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID LACE CINNA,3,,,,FUR BALL LV HELLO KITTY,1,100,,,PHOTOCARD FLUFFY,5,250,,,CHIIKAWA HEAD SMALL,7,100,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID LACE KUROMI,5,,,,GLITTER SANRIO,4,100,,,BORIS/MIFFY BLUE POUCH,1,150,,,CHIIKAWA MEDIUM PLUSHIE,9,150,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,COINPURSE LEATHERETTE,7,,,,HARRY POTTER,19,100,,,,,,,,CINNAMAROLL BLUE,2,250,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,SQUARE POUCH MINI,5,,,,HELLO KITTY BIG,3,100,,,,,,,,CINNAMAROLL PEARL BAG,2,250,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,DISNEY PRINCESS POUCH,4,,,,ICE CREAM SANRIO,9,100,,,,,,,,CRYBABY PLUSHIE,7,200,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,KEROKEROPI BIG,2,100,,,,,,,,EARS LANYARD PLUSHIE,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,KUROMI BIG,6,100,,,,,,,,FOX PLUSHIE,2,150,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,KUROMI BIG PINK,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,KUROMI DOUBLE,6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
